temp_pass_rc,passreduction_th_rc_plan,passdiff_width_rc_plan,strength_yp,th_pass_plan,width_pass_rc,rollforce_plan,rollgap_plan,mill_modulus,dna_set,rollforce_rm,th_pass_rc
1132.0,-15.163,95.8,38.6,236.745,1593.8,3489.0,238.15,720.8,2.565,3316.5,236.746
1130.0,-13.178,93.6,38.8,222.935,1687.4,3453.3,224.16,720.8,2.565,3933.0,223.568
1125.0,-16.593,135.2,39.0,206.943,1822.6,3811.8,207.42,720.9,2.565,3998.0,206.975
1123.0,-15.079,142.7,39.2,191.406,1965.3,3867.0,191.55,720.9,2.565,4154.5,191.896
1119.0,-16.097,179.9,39.4,175.875,2145.2,4158.1,175.37,720.9,2.565,3790.3,175.799
1116.0,-15.008,199.6,39.6,160.403,2344.8,4179.7,159.62,720.9,2.565,4107.7,160.791
1111.0,-17.478,285.9,39.8,143.357,2630.7,4170.4,142.32,720.9,2.565,3959.5,143.313
1108.0,-15.631,307.4,40.0,127.232,2938.1,4376.0,125.66,720.9,2.565,3935.2,127.682
1092.0,-20.605,0.0,40.2,106.922,2938.1,3770.7,105.61,687.2,2.565,3917.2,107.077
1087.0,-16.126,1.0,40.4,90.128,2939.1,3217.3,89.32,687.2,2.532,3438.1,90.951
1078.0,-15.022,0.0,40.6,75.751,2939.1,3455.1,74.38,687.3,2.532,3578.8,75.929
1071.0,-13.44,0.8,40.8,61.901,2939.9,3660.0,60.01,687.3,2.532,3712.2,62.489
1060.0,-12.341,0.8,41.0,49.637,2940.7,3835.9,47.31,687.3,2.532,3906.6,50.148
1050.0,-10.354,0.5,41.2,39.25,2941.2,4115.0,36.36,687.3,2.532,3980.9,39.794
1033.0,-8.806,0.5,41.4,30.973,2941.7,4280.2,27.72,687.4,2.532,4328.3,30.988
1021.0,-6.382,0.4,41.6,24.152,2942.1,4274.3,20.8,687.4,2.532,4072.2,24.606
1001.0,-4.953,0.2,41.8,19.218,2942.3,4401.9,15.61,687.4,2.532,4148.3,19.653
